Reason,Source,Validation,Pages
Not found (404),Website,Not Started,91
Duplicate without user-selected canonical,Website,Not Started,30
Excluded by ‘noindex’ tag,Website,Not Started,13
Blocked by robots.txt,Website,Not Started,10
Page with redirect,Website,Not Started,10
Blocked due to other 4xx issue,Website,Not Started,1
Soft 404,Website,Not Started,1
Alternate page with proper canonical tag,Website,Not Started,1
Crawled - currently not indexed,Google systems,Not Started,138
"Duplicate, Google chose different canonical than user",Google systems,Not Started,1
